,layer,pos,prob
0,0,0,0.0007009261753410101
1,0,1,0.0007009261753410101
2,0,2,0.0007009261753410101
3,0,3,0.0007009261753410101
4,0,4,0.0007009261753410101
5,0,5,0.0007009261753410101
6,0,6,0.0007009261753410101
7,0,7,0.0007009261753410101
8,0,8,0.0007009261753410101
9,0,9,0.0007009261753410101
10,0,10,0.0007938934722915292
11,0,11,0.0007482191431336105
12,0,12,0.0007117449422366917
13,0,13,0.0007139763911254704
14,0,14,0.0007027575629763305
15,1,0,0.0007009261753410101
16,1,1,0.0007009261753410101
17,1,2,0.0007009261753410101
18,1,3,0.0007009261753410101
19,1,4,0.0007009261753410101
20,1,5,0.0007009261753410101
21,1,6,0.0007009261753410101
22,1,7,0.0007009261753410101
23,1,8,0.0007009261753410101
24,1,9,0.0007009261753410101
25,1,10,0.0008232538821175694
26,1,11,0.000760840717703104
27,1,12,0.0007201539701782167
28,1,13,0.0007171097095124424
29,1,14,0.0007496205507777631
30,2,0,0.0007009261753410101
31,2,1,0.0007009261753410101
32,2,2,0.0007009261753410101
33,2,3,0.0007009261753410101
34,2,4,0.0007009261753410101
35,2,5,0.0007009261753410101
36,2,6,0.0007009261753410101
37,2,7,0.0007009261753410101
38,2,8,0.0007009261753410101
39,2,9,0.0007009261753410101
40,2,10,0.0008114103693515062
41,2,11,0.0006763341370970011
42,2,12,0.0007223911234177649
43,2,13,0.0006994042196311057
44,2,14,0.0007662338321097195
45,3,0,0.0007009261753410101
46,3,1,0.0007009261753410101
47,3,2,0.0007009261753410101
48,3,3,0.0007009261753410101
49,3,4,0.0007009261753410101
50,3,5,0.0007009261753410101
51,3,6,0.0007009261753410101
52,3,7,0.0007009261753410101
53,3,8,0.0007009261753410101
54,3,9,0.0007009261753410101
55,3,10,0.0007984970579855144
56,3,11,0.0006302908295765519
57,3,12,0.0007217270322144032
58,3,13,0.0007019353215582669
59,3,14,0.0007633856148459017
60,4,0,0.0007009261753410101
61,4,1,0.0007009261753410101
62,4,2,0.0007009261753410101
63,4,3,0.0007009261753410101
64,4,4,0.0007009261753410101
65,4,5,0.0007009261753410101
66,4,6,0.0007009261753410101
67,4,7,0.0007009261753410101
68,4,8,0.0007009261753410101
69,4,9,0.0007009261753410101
